Wk,Home,Away
26,Newcastle Utd,Wolves
26,Leicester City,Arsenal
26,Crystal Palace,Fulham
26,Tottenham,Burnley
26,Chelsea,Manchester Utd
26,Sheffield Utd,Liverpool
26,Everton,Southampton
29,Manchester City,Wolves
29,Burnley,Leicester City
29,Sheffield Utd,Aston Villa
29,Crystal Palace,Manchester Utd
29,West Brom,Everton
33,Fulham,Tottenham
29,Liverpool,Chelsea
27,Burnley,Arsenal
27,Sheffield Utd,Southampton
27,Aston Villa,Wolves
27,Brighton,Leicester City
27,West Brom,Newcastle Utd
27,Liverpool,Fulham
27,Manchester City,Manchester Utd
27,Tottenham,Crystal Palace
27,Chelsea,Everton
27,West Ham,Leeds United
33,Manchester City,Southampton
28,Newcastle Utd,Aston Villa
28,Leeds United,Chelsea
28,Crystal Palace,West Brom
28,Everton,Burnley
28,Fulham,Manchester City
28,Southampton,Brighton
28,Leicester City,Sheffield Utd
28,Arsenal,Tottenham
28,Manchester Utd,West Ham
28,Wolves,Liverpool
29,Fulham,Leeds United
29,Brighton,Newcastle Utd
29,West Ham,Arsenal
18,Aston Villa,Tottenham
30,Chelsea,West Brom
30,Leeds United,Sheffield Utd
30,Leicester City,Manchester City
30,Arsenal,Liverpool
30,Southampton,Burnley
30,Newcastle Utd,Tottenham
30,Aston Villa,Fulham
30,Manchester Utd,Brighton
30,Everton,Crystal Palace
30,Wolves,West Ham
31,Fulham,Wolves
31,Manchester City,Leeds United
31,Liverpool,Aston Villa
31,Crystal Palace,Chelsea
31,Burnley,Newcastle Utd
31,West Ham,Leicester City
31,Tottenham,Manchester Utd
31,Sheffield Utd,Arsenal
31,West Brom,Southampton
31,Brighton,Everton
32,Everton,Tottenham
32,Newcastle Utd,West Ham
32,Wolves,Sheffield Utd
32,Arsenal,Fulham
32,Manchester Utd,Burnley
32,Leeds United,Liverpool
32,Chelsea,Brighton
29,Tottenham,Southampton
32,Aston Villa,Manchester City
32,Leicester City,West Brom
33,Arsenal,Everton
33,Liverpool,Newcastle Utd
33,West Ham,Chelsea
33,Sheffield Utd,Brighton
33,Wolves,Burnley
33,Leeds United,Manchester Utd
33,Aston Villa,West Brom
33,Leicester City,Crystal Palace
34,Southampton,Leicester City
34,Crystal Palace,Manchester City
34,Brighton,Leeds United
34,Chelsea,Fulham
34,Everton,Aston Villa
34,Newcastle Utd,Arsenal
34,Tottenham,Sheffield Utd
34,West Brom,Wolves
34,Burnley,West Ham
35,Leicester City,Newcastle Utd
35,Leeds United,Tottenham
35,Sheffield Utd,Crystal Palace
35,Manchester City,Chelsea
35,Liverpool,Southampton
35,Wolves,Brighton
35,Aston Villa,Manchester Utd
35,West Ham,Everton
35,Arsenal,West Brom
35,Fulham,Burnley
36,Manchester Utd,Leicester City
32,Southampton,Crystal Palace
36,Chelsea,Arsenal
19,Aston Villa,Everton
34,Manchester Utd,Liverpool
36,Newcastle Utd,Manchester City
36,Burnley,Leeds United
36,Southampton,Fulham
36,Brighton,West Ham
36,Crystal Palace,Aston Villa
36,Tottenham,Wolves
36,West Brom,Liverpool
36,Everton,Sheffield Utd
37,Manchester Utd,Fulham
37,Southampton,Leeds United
37,Brighton,Manchester City
37,Chelsea,Leicester City
37,Newcastle Utd,Sheffield Utd
37,Everton,Wolves
37,Tottenham,Aston Villa
37,Crystal Palace,Arsenal
37,West Brom,West Ham
37,Burnley,Liverpool
38,Leeds United,West Brom
38,Arsenal,Brighton
38,West Ham,Southampton
38,Liverpool,Crystal Palace
38,Fulham,Newcastle Utd
38,Wolves,Manchester Utd
38,Sheffield Utd,Burnley
38,Manchester City,Everton
38,Leicester City,Tottenham
38,Aston Villa,Chelsea
1,Brentford,Arsenal
1,Manchester Utd,Leeds United
1,Everton,Southampton
1,Leicester City,Wolves
1,Chelsea,Crystal Palace
1,Burnley,Brighton
1,Watford,Aston Villa
1,Norwich City,Liverpool
1,Newcastle Utd,West Ham
1,Tottenham,Manchester City
2,Liverpool,Burnley
2,Leeds United,Everton
2,Crystal Palace,Brentford
2,Manchester City,Norwich City
2,Aston Villa,Newcastle Utd
2,Brighton,Watford
2,Wolves,Tottenham
2,Southampton,Manchester Utd
2,Arsenal,Chelsea
2,West Ham,Leicester City
3,Manchester City,Arsenal
3,West Ham,Crystal Palace
3,Norwich City,Leicester City
3,Aston Villa,Brentford
3,Newcastle Utd,Southampton
3,Brighton,Everton
3,Liverpool,Chelsea
3,Burnley,Leeds United
3,Tottenham,Watford
3,Wolves,Manchester Utd
4,Crystal Palace,Tottenham
4,Leicester City,Manchester City
4,Brentford,Brighton
4,Southampton,West Ham
4,Arsenal,Norwich City
4,Manchester Utd,Newcastle Utd
4,Watford,Wolves
4,Chelsea,Aston Villa
4,Leeds United,Liverpool
4,Everton,Burnley
5,Newcastle Utd,Leeds United
5,Wolves,Brentford
5,Norwich City,Watford
5,Burnley,Arsenal
5,Manchester City,Southampton
5,Liverpool,Crystal Palace
5,Aston Villa,Everton
5,Brighton,Leicester City
5,West Ham,Manchester Utd
5,Tottenham,Chelsea
6,Chelsea,Manchester City
6,Manchester Utd,Aston Villa
6,Everton,Norwich City
6,Leeds United,West Ham
6,Watford,Newcastle Utd
6,Leicester City,Burnley
6,Brentford,Liverpool
6,Southampton,Wolves
6,Arsenal,Tottenham
6,Crystal Palace,Brighton
7,Manchester Utd,Everton
7,Leeds United,Watford
7,Chelsea,Southampton
7,Wolves,Newcastle Utd
7,Burnley,Norwich City
7,Brighton,Arsenal
7,West Ham,Brentford
7,Tottenham,Aston Villa
7,Crystal Palace,Leicester City
7,Liverpool,Manchester City
8,Watford,Liverpool
8,Aston Villa,Wolves
8,Manchester City,Burnley
8,Southampton,Leeds United
8,Leicester City,Manchester Utd
8,Norwich City,Brighton
8,Brentford,Chelsea
8,Everton,West Ham
8,Newcastle Utd,Tottenham
8,Arsenal,Crystal Palace
9,Arsenal,Aston Villa
9,Chelsea,Norwich City
9,Southampton,Burnley
9,Crystal Palace,Newcastle Utd
9,Everton,Watford
9,Leeds United,Wolves
9,Brighton,Manchester City
9,Brentford,Leicester City
9,West Ham,Tottenham
9,Manchester Utd,Liverpool
10,Leicester City,Arsenal
10,Newcastle Utd,Chelsea
10,Manchester City,Crystal Palace
10,Liverpool,Brighton
10,Burnley,Brentford
10,Watford,Southampton
10,Tottenham,Manchester Utd
10,Norwich City,Leeds United
10,Aston Villa,West Ham
10,Wolves,Everton
11,Southampton,Aston Villa
11,Manchester Utd,Manchester City
11,Chelsea,Burnley
11,Brentford,Norwich City
11,Crystal Palace,Wolves
11,Brighton,Newcastle Utd
11,Arsenal,Watford
11,Leeds United,Leicester City
11,Everton,Tottenham
11,West Ham,Liverpool
12,Leicester City,Chelsea
12,Burnley,Crystal Palace
12,Aston Villa,Brighton
12,Newcastle Utd,Brentford
12,Norwich City,Southampton
12,Watford,Manchester Utd
12,Wolves,West Ham
12,Liverpool,Arsenal
12,Manchester City,Everton
12,Tottenham,Leeds United
13,Arsenal,Newcastle Utd
13,Liverpool,Southampton
13,Norwich City,Wolves
13,Crystal Palace,Aston Villa
13,Brighton,Leeds United
13,Manchester City,West Ham
13,Brentford,Everton
13,Leicester City,Watford
13,Chelsea,Manchester Utd
14,Newcastle Utd,Norwich City
14,Leeds United,Crystal Palace
14,West Ham,Brighton
14,Watford,Chelsea
14,Southampton,Leicester City
14,Wolves,Burnley
14,Aston Villa,Manchester City
14,Everton,Liverpool
14,Tottenham,Brentford
14,Manchester Utd,Arsenal
15,West Ham,Chelsea
15,Newcastle Utd,Burnley
15,Southampton,Brighton
15,Wolves,Liverpool
15,Watford,Manchester City
15,Tottenham,Norwich City
15,Manchester Utd,Crystal Palace
15,Leeds United,Brentford
15,Aston Villa,Leicester City
15,Everton,Arsenal
16,Brentford,Watford
16,Manchester City,Wolves
16,Liverpool,Aston Villa
16,Arsenal,Southampton
16,Chelsea,Leeds United
16,Norwich City,Manchester Utd
16,Leicester City,Newcastle Utd
16,Burnley,West Ham
16,Crystal Palace,Everton
17,Norwich City,Aston Villa
17,Manchester City,Leeds United
17,Crystal Palace,Southampton
17,Brighton,Wolves
17,Arsenal,West Ham
17,Chelsea,Everton
17,Liverpool,Newcastle Utd
18,Leeds United,Arsenal
18,Wolves,Chelsea
18,Newcastle Utd,Manchester City
18,Tottenham,Liverpool
19,Tottenham,Crystal Palace
19,Norwich City,Arsenal
19,West Ham,Southampton
19,Manchester City,Leicester City
19,Aston Villa,Chelsea
19,Brighton,Brentford
19,Newcastle Utd,Manchester Utd
20,Crystal Palace,Norwich City
20,Southampton,Tottenham
20,Watford,West Ham
20,Leicester City,Liverpool
20,Chelsea,Brighton
20,Brentford,Manchester City
20,Manchester Utd,Burnley
21,Arsenal,Manchester City
21,Watford,Tottenham
21,Crystal Palace,West Ham
21,Brentford,Aston Villa
21,Everton,Brighton
21,Leeds United,Burnley
21,Chelsea,Liverpool
21,Manchester Utd,Wolves
18,Southampton,Brentford
18,West Ham,Norwich City
22,Brighton,Crystal Palace
22,Manchester City,Chelsea
22,Norwich City,Everton
22,Newcastle Utd,Watford
22,Wolves,Southampton
22,Aston Villa,Manchester Utd
22,West Ham,Leeds United
22,Liverpool,Brentford
24,Brighton,Chelsea
17,Leicester City,Tottenham
17,Brentford,Manchester Utd
23,Watford,Norwich City
23,Everton,Aston Villa
23,Brentford,Wolves
23,Manchester Utd,West Ham
23,Leeds United,Newcastle Utd
23,Southampton,Manchester City
23,Crystal Palace,Liverpool
23,Arsenal,Burnley
23,Leicester City,Brighton
23,Chelsea,Tottenham
17,Burnley,Watford
24,West Ham,Watford
24,Newcastle Utd,Everton
24,Burnley,Manchester Utd
24,Norwich City,Crystal Palace
24,Manchester City,Brentford
24,Tottenham,Southampton
24,Aston Villa,Leeds United
24,Wolves,Arsenal
24,Liverpool,Leicester City
25,Manchester Utd,Southampton
25,Everton,Leeds United
25,Brentford,Crystal Palace
25,Watford,Brighton
25,Norwich City,Manchester City
25,Tottenham,Wolves
25,Newcastle Utd,Aston Villa
25,Burnley,Liverpool
25,Leicester City,West Ham
18,Manchester Utd,Brighton
26,West Ham,Newcastle Utd
26,Brighton,Burnley
26,Southampton,Everton
26,Arsenal,Brentford
26,Crystal Palace,Chelsea
26,Liverpool,Norwich City
26,Aston Villa,Watford
26,Manchester City,Tottenham
26,Leeds United,Manchester Utd
26,Wolves,Leicester City
13,Burnley,Tottenham
18,Watford,Crystal Palace
19,Liverpool,Leeds United
20,Arsenal,Wolves
27,Southampton,Norwich City
27,Leeds United,Tottenham
27,Crystal Palace,Burnley
27,Brighton,Aston Villa
27,Manchester Utd,Watford
27,Brentford,Newcastle Utd
27,Everton,Manchester City
27,West Ham,Wolves
22,Burnley,Leicester City
28,Leicester City,Leeds United
28,Aston Villa,Southampton
28,Newcastle Utd,Brighton
28,Burnley,Chelsea
28,Norwich City,Brentford
28,Wolves,Crystal Palace
28,Liverpool,West Ham
28,Watford,Arsenal
28,Manchester City,Manchester Utd
28,Tottenham,Everton
19,Wolves,Watford
21,Southampton,Newcastle Utd
30,Norwich City,Chelsea
20,Leeds United,Aston Villa
29,Brighton,Liverpool
29,Brentford,Burnley
29,Manchester Utd,Tottenham
29,Chelsea,Newcastle Utd
29,Everton,Wolves
29,Leeds United,Norwich City
29,West Ham,Aston Villa
29,Southampton,Watford
29,Arsenal,Leicester City
29,Crystal Palace,Manchester City
16,Brighton,Tottenham
27,Arsenal,Liverpool
20,Everton,Newcastle Utd
30,Wolves,Leeds United
30,Aston Villa,Arsenal
30,Leicester City,Brentford
30,Tottenham,West Ham
31,Liverpool,Watford
31,Brighton,Norwich City
31,Burnley,Manchester City
31,Chelsea,Brentford
31,Wolves,Aston Villa
31,Leeds United,Southampton
31,Manchester Utd,Leicester City
31,West Ham,Everton
31,Tottenham,Newcastle Utd
31,Crystal Palace,Arsenal
19,Burnley,Everton
32,Newcastle Utd,Wolves
32,Everton,Manchester Utd
32,Arsenal,Brighton
32,Watford,Leeds United
32,Southampton,Chelsea
32,Aston Villa,Tottenham
32,Brentford,West Ham
32,Norwich City,Burnley
32,Leicester City,Crystal Palace
32,Manchester City,Liverpool
33,Tottenham,Brighton
33,Watford,Brentford
33,Southampton,Arsenal
33,Manchester Utd,Norwich City
33,West Ham,Burnley
33,Newcastle Utd,Leicester City
30,Liverpool,Manchester Utd
18,Everton,Leicester City
25,Chelsea,Arsenal
30,Newcastle Utd,Crystal Palace
30,Manchester City,Brighton
30,Burnley,Southampton
34,Arsenal,Manchester Utd
34,Norwich City,Newcastle Utd
34,Leicester City,Aston Villa
34,Manchester City,Watford
34,Brentford,Tottenham
34,Chelsea,West Ham
34,Burnley,Wolves
34,Brighton,Southampton
34,Liverpool,Everton
34,Crystal Palace,Leeds United
37,Manchester Utd,Chelsea
35,Newcastle Utd,Liverpool
35,Watford,Burnley
35,Wolves,Brighton
35,Aston Villa,Norwich City
35,Southampton,Crystal Palace
35,Leeds United,Manchester City
35,Tottenham,Leicester City
35,Everton,Chelsea
35,West Ham,Arsenal
35,Manchester Utd,Brentford
36,Burnley,Aston Villa
36,Crystal Palace,Watford
36,Brentford,Southampton
36,Chelsea,Wolves
36,Brighton,Manchester Utd
36,Liverpool,Tottenham
36,Leicester City,Everton
36,Arsenal,Leeds United
36,Norwich City,West Ham
36,Manchester City,Newcastle Utd
33,Aston Villa,Liverpool
33,Leeds United,Chelsea
21,Leicester City,Norwich City
30,Watford,Everton
33,Wolves,Manchester City
22,Tottenham,Arsenal
37,Tottenham,Burnley
37,Wolves,Norwich City
37,Aston Villa,Crystal Palace
37,Watford,Leicester City
37,West Ham,Manchester City
37,Leeds United,Brighton
37,Everton,Brentford
37,Newcastle Utd,Arsenal
37,Southampton,Liverpool
33,Everton,Crystal Palace
18,Aston Villa,Burnley
27,Chelsea,Leicester City
38,Burnley,Newcastle Utd
38,Crystal Palace,Manchester Utd
38,Manchester City,Aston Villa
38,Brentford,Leeds United
38,Arsenal,Everton
38,Norwich City,Tottenham
38,Leicester City,Southampton
38,Liverpool,Wolves
38,Brighton,West Ham
38,Chelsea,Watford
1,Crystal Palace,Arsenal
1,Fulham,Liverpool
1,Newcastle Utd,Nott'ham Forest
1,Bournemouth,Aston Villa
1,Leeds United,Wolves
1,Tottenham,Southampton
1,Everton,Chelsea
1,Leicester City,Brentford
1,Manchester Utd,Brighton
1,West Ham,Manchester City
2,Aston Villa,Everton
2,Brighton,Newcastle Utd
2,Arsenal,Leicester City
2,Southampton,Leeds United
2,Wolves,Fulham
2,Manchester City,Bournemouth
2,Brentford,Manchester Utd
2,Nott'ham Forest,West Ham
2,Chelsea,Tottenham
2,Liverpool,Crystal Palace
3,Tottenham,Wolves
3,Everton,Nott'ham Forest
3,Crystal Palace,Aston Villa
3,Fulham,Brentford
3,Leicester City,Southampton
3,Bournemouth,Arsenal
3,West Ham,Brighton
3,Leeds United,Chelsea
3,Newcastle Utd,Manchester City
3,Manchester Utd,Liverpool
4,Southampton,Manchester Utd
4,Brighton,Leeds United
4,Brentford,Everton
4,Manchester City,Crystal Palace
4,Chelsea,Leicester City
4,Liverpool,Bournemouth
4,Arsenal,Fulham
4,Wolves,Newcastle Utd
4,Aston Villa,West Ham
4,Nott'ham Forest,Tottenham
5,Fulham,Brighton
5,Crystal Palace,Brentford
5,Southampton,Chelsea
5,Leeds United,Everton
5,Bournemouth,Wolves
5,Manchester City,Nott'ham Forest
5,Arsenal,Aston Villa
5,West Ham,Tottenham
5,Liverpool,Newcastle Utd
5,Leicester City,Manchester Utd
6,Everton,Liverpool
6,Tottenham,Fulham
6,Nott'ham Forest,Bournemouth
6,Wolves,Southampton
6,Newcastle Utd,Crystal Palace
6,Chelsea,West Ham
6,Brentford,Leeds United
6,Aston Villa,Manchester City
6,Brighton,Leicester City
6,Manchester Utd,Arsenal
8,Nott'ham Forest,Fulham
8,Aston Villa,Southampton
8,Wolves,Manchester City
8,Newcastle Utd,Bournemouth
8,Tottenham,Leicester City
8,Brentford,Arsenal
8,Everton,West Ham
9,Arsenal,Tottenham
9,Fulham,Newcastle Utd
9,Liverpool,Brighton
9,Crystal Palace,Chelsea
9,Bournemouth,Brentford
9,Southampton,Everton
9,West Ham,Wolves
9,Manchester City,Manchester Utd
9,Leeds United,Aston Villa
9,Leicester City,Nott'ham Forest
10,Newcastle Utd,Brentford
10,Bournemouth,Leicester City
10,Chelsea,Wolves
10,Manchester City,Southampton
10,Brighton,Tottenham
10,West Ham,Fulham
10,Crystal Palace,Leeds United
10,Arsenal,Liverpool
10,Everton,Manchester Utd
10,Nott'ham Forest,Aston Villa
11,Brentford,Brighton
11,Leicester City,Crystal Palace
11,Fulham,Bournemouth
11,Wolves,Nott'ham Forest
11,Tottenham,Everton
11,Manchester Utd,Newcastle Utd
11,Aston Villa,Chelsea
11,Leeds United,Arsenal
11,Southampton,West Ham
11,Liverpool,Manchester City
12,Brighton,Nott'ham Forest
12,Crystal Palace,Wolves
12,Bournemouth,Southampton
12,Newcastle Utd,Everton
12,Brentford,Chelsea
12,Liverpool,West Ham
12,Manchester Utd,Tottenham
12,Fulham,Aston Villa
12,Leicester City,Leeds United
13,Nott'ham Forest,Liverpool
13,Everton,Crystal Palace
13,Manchester City,Brighton
13,Chelsea,Manchester Utd
13,Wolves,Leicester City
13,Aston Villa,Brentford
13,Leeds United,Fulham
13,Southampton,Arsenal
13,Tottenham,Newcastle Utd
13,West Ham,Bournemouth
14,Leicester City,Manchester City
14,Crystal Palace,Southampton
14,Newcastle Utd,Aston Villa
14,Bournemouth,Tottenham
14,Brighton,Chelsea
14,Brentford,Wolves
14,Fulham,Everton
14,Liverpool,Leeds United
14,Arsenal,Nott'ham Forest
14,Manchester Utd,West Ham
15,Leeds United,Bournemouth
15,Wolves,Brighton
15,Manchester City,Fulham
15,Nott'ham Forest,Brentford
15,Everton,Leicester City
15,Chelsea,Arsenal
15,Southampton,Newcastle Utd
15,West Ham,Crystal Palace
15,Aston Villa,Manchester Utd
15,Tottenham,Liverpool
16,Manchester City,Brentford
16,Tottenham,Leeds United
16,Nott'ham Forest,Crystal Palace
16,West Ham,Leicester City
16,Liverpool,Southampton
16,Bournemouth,Everton
16,Newcastle Utd,Chelsea
16,Wolves,Arsenal
16,Brighton,Aston Villa
16,Fulham,Manchester Utd
17,Brentford,Tottenham
17,Crystal Palace,Fulham
17,Everton,Wolves
17,Leicester City,Newcastle Utd
17,Southampton,Brighton
17,Aston Villa,Liverpool
17,Arsenal,West Ham
17,Chelsea,Bournemouth
17,Manchester Utd,Nott'ham Forest
17,Leeds United,Manchester City
18,West Ham,Brentford
18,Liverpool,Leicester City
18,Wolves,Manchester Utd
18,Newcastle Utd,Leeds United
18,Fulham,Southampton
18,Bournemouth,Crystal Palace
18,Manchester City,Everton
18,Brighton,Arsenal
18,Tottenham,Aston Villa
18,Nott'ham Forest,Chelsea
19,Brentford,Liverpool
19,Leicester City,Fulham
19,Everton,Brighton
19,Arsenal,Newcastle Utd
19,Manchester Utd,Bournemouth
19,Southampton,Nott'ham Forest
19,Leeds United,West Ham
19,Crystal Palace,Tottenham
19,Aston Villa,Wolves
19,Chelsea,Manchester City
7,Fulham,Chelsea
20,Aston Villa,Leeds United
20,Manchester Utd,Manchester City
20,Nott'ham Forest,Leicester City
20,Wolves,West Ham
20,Brighton,Liverpool
20,Everton,Southampton
20,Brentford,Bournemouth
20,Newcastle Utd,Fulham
20,Chelsea,Crystal Palace
20,Tottenham,Arsenal
7,Crystal Palace,Manchester Utd
7,Manchester City,Tottenham
21,Liverpool,Chelsea
21,Southampton,Aston Villa
21,Bournemouth,Nott'ham Forest
21,Leicester City,Brighton
21,West Ham,Everton
21,Crystal Palace,Newcastle Utd
21,Leeds United,Brentford
21,Manchester City,Wolves
21,Arsenal,Manchester Utd
21,Fulham,Tottenham
22,Chelsea,Fulham
22,Everton,Arsenal
22,Brentford,Southampton
22,Wolves,Liverpool
22,Manchester Utd,Crystal Palace
22,Aston Villa,Leicester City
22,Brighton,Bournemouth
22,Newcastle Utd,West Ham
22,Nott'ham Forest,Leeds United
22,Tottenham,Manchester City
8,Manchester Utd,Leeds United
23,West Ham,Chelsea
23,Arsenal,Brentford
23,Leicester City,Tottenham
23,Fulham,Nott'ham Forest
23,Crystal Palace,Brighton
23,Southampton,Wolves
23,Bournemouth,Newcastle Utd
23,Leeds United,Manchester Utd
23,Manchester City,Aston Villa
23,Liverpool,Everton
12,Arsenal,Manchester City
24,Aston Villa,Arsenal
24,Brighton,Fulham
24,Brentford,Crystal Palace
24,Everton,Leeds United
24,Chelsea,Southampton
24,Wolves,Bournemouth
24,Nott'ham Forest,Manchester City
24,Newcastle Utd,Liverpool
24,Manchester Utd,Leicester City
